Palabra Original,Traducción
unobservable heterogeneity,unobservable heterogeneity
intrahousehold time allocation,intrahousehold time allocation
labor supply,labor supply
nonlinear models,nonlinear models
sistema de análisis y cálculo,analysis and calculation system
sistema audiovisual. politicas de cultura y comunicación,audiovisual system. culture and communication policies
objetiva,objective
aprendizaje mejorado con la tecnología,technology enhanced learning
aviación verde,green aviation
asistencia social,social care
desacoplado,decoupled
mercados de emparejamiento,matchmaking markets
natural and rural areas,natural and rural areas
spain,spain
fiction cinema,fiction cinema
landscape,landscape
tourism,tourism
hall effect,hall effect
comportamiento mecánico,mechanical behavior
carbono/epoxi,carbon/epoxy
leishmaniasis,leishmaniasis
convertidores resonantes,resonant converters
citygml,citygml
fmi,fmi
vínculo humano-robot,human-robot bond
web semántica,semantic web
vigas rotatorias fisuradas,cracked rotating beams
economic history,economic history
historical economic geography,historical economic geography
globalizing europe,globalizing europe
transnational history,transnational history
frequency generation,frequency generation
técnicas de control,control techniques
computer architecture,computer architecture
prestaciones económicas de garantía de recursos de subsistencia,economic benefits to guarantee subsistence resources
sensor de polvo,dust sensor
pisa,pisa
arquitectura cell-free,arquitectura cell-free
aplicacion industrial,industrial application
laser technology,laser technology
digital,digital
network automation,network automation
derecho laboral,labor law
lola flores,lola flores
ultra-wideband operation,ultra-wideband operation
pila,lineup
sistemas aprendiz de aprendizaje,apprentice learning systems
imágenes moleculares,molecular images
cooperación humano robot,human robot cooperation
activos renovables,renewable assets
minería de datos,data mining
additive manufacturing,additive manufacturing
transporte de mercancías,merchandise transports
plasma jet,plasma jet
interés fijo,fixed interest
ir,and
temperature forecasting,temperature forecasting
light management,light management
gestión de la cadena de suministro,supply chain management
ciencia ciudadana,citizen science
dynamic discrete choice,dynamic discrete choice
pet/mri,pet/mri
alta tensión,high voltage
wind uncertainty,wind uncertainty
transmitter and receiver assemblies,transmitter and receiver assemblies
distorsion armonica total,distorsion armonica total
caracterización microestructural,microstructural characterization
ue,ue
control,control
perception,perception
ecg,ecg
desarrollo rural,rural development
teoría de transporte de luz,light transport theory
electrodos,electrodes
llamas,llamas
interconnection,interconnection
agencia,agency
religiosidad hispanorromana,Hispano-Roman religiosity
gestión de movimiento de datos,data movement management
especificación,specification
sensores electroquímicos,electrochemical sensors
autosar,autosar
employee representation.,employee representation.
estudios técnicos,technical studies
transporte cuántico,quantum transport
ogi,bread
ferrocarril,railway
hardware,hardware
software,software
respuestas del consumidor,consumer responses
consumidores,consumers
multisensory immersive analytics,multisensory immersive analytics
mycrosoft dynamic,mycrosoft dynamic
intermediario,intermediary
shared mobility,shared mobility
mantenimiento de máquinas,machine maintenance
antibiotic resistance,antibiotic resistance
sequential therapy,sequential therapy
biological evolution,biological evolution
climate change,climate change
plant development biology,plant development biology
systems biology,systems biology
mathematical,mathematical
armaduras,armor
base de datos/predicción espacio-temporal,spatio-temporal database/prediction
blockchain,blockchain
sistemas de distribución de potencia,power distribution systems
edad,age
teoria económica,economic theory
procesos fluidotermicos,fluid thermal processes
subterahertz carrier,subterahertz carrier
fibras de lino,flax fibers
link layer interface,link layer interface
consolidación ods,ods consolidation
gestión de cambios puntuales,management of specific changes
humanities,humanities
comunicaciones móviles,mobile communications
diseño de instituciones,institution design
antena multifuncional,multifunctional antenna
ibidattccportugal,ibidattccportugal
analytics,analytics
inteligencia articicial,artificial intelligence
miembro superior,superior member
ciclo de cine,film series
estado,state
sistema experto,expert system
ap. móviles,ap. mobiles
idempotencia,idempotence
dic,dic
sordociegos,deafblind
tórax,chest
nfv,nfv
sfc,sfc
network virtualization,network virtualization
psicrometría,psychrometry
precios electricidad,electricity prices
time-encoded,time-encoded
modelos bandit,models are bandied about
empresas reciente creación,recently created companies
cartografia politica,political cartography
online,online
text mining,text mining
óptica,optics
rediatribution,rediatribution
aeroacoustic measurement,aeroacoustic measurement
modelización estadística,statistical modeling
accesibilidad universal,universal accessibility
bioingenieria,bioingenieria
propiedades mecánicas,mechanical properties
generación de pulsos,pulse generation
secado por aire caliente,hot air drying
sesgo de selección,selection bias
convertidores de energía,power converters
food quality,food quality
festivales,festivals
laminados delgados,thin laminates
simulación dinámica,dynamic simulation
sistemas inteligentes de transporte,intelligent transport systems
vehículos autónomos y conectados,autonomous and connected vehicles
percepción,perception
comunicaciones v2x,v2x communications
simulación,simulation
fallback,fallback
economía circular,circular economy
ocupación,occupation
oferta laboral,job offer
derecho,right
ecología,ecology
justicia climática,climate justice
justicia ecológica,ecological justice
derechos humanos,human rights
derechos de la naturaleza,rights of nature
teorías de la justicia,theories of justice
metodología de evaluación,evaluation methodology
periodismo de datos,data journalism
redes familiares,family networks
odor,odor
análisis interdisciplinar,interdisciplinary analysis
optimización discreta,discrete optimization
tiroteos masivos,mass shootings
imaging arrays (cámara),imaging arrays (camera)
imagen 3d,3d image
formación endógena de grupos. estabilidad. diversidad. naciones. ciudades. partidos políticos,endogenous group formation. stability. diversity. nations. cities. political parties
plasma modeling,plasma modeling
valor en riesgo,value at risk
señalización celular,cell signaling
modelos de factores dinámicos,dynamic factor models
wireless communications,wireless communications
espacios invariantes por traslación,translation invariant spaces
plataforma,platform
general-to-specific,general-to-specific
network technologies / internetworking,network technologies / internetworking
territoriales rtve,territorial rtve
modelización econométrica,econometric modeling
comunicación por satélite,satellite communication
mimo masivo,mime massif
ondas milimétricas,millimeter waves
vlc,vlc
red ultra-densa,red ultra-densa
gestión de recursos radio,radio resource management
distribución de,distribution of
independencia judicial,judicial independence
analysis,analysis
robots,robots
flame,flame
aprendizaje automatico robótica social,machine learning social robotics
contrastes ómnibus,contrary to all
formación y crédito,training and credit
minería de datos (big data),data mining (big data)
and criticality analysis),and criticality analysis)
– open data,– open data
mecanizado,machining
protección de datos,Data Protection
sumabilidad,summability
ambiguity,ambiguity
machinelearning,machinelearning
integración fusiones y adquisiciones,mergers and acquisitions integration
pinturas,paintings
países en desarrollo,developing countries
interferometría de fibra óptica,fiber optic interferometry
misiones espaciales,space missions
fluorescencia,fluorescence
resistencia a antibióticos,antibiotic resistance
terapia secuencial,sequential therapy
evolución biológica,biological evolution
cambio climático,climate change
biología del desarollo vegetal,biology of plant development
biología de sistemas,systems biology
asesoramiento técnico,technical advice
aircraft design optimisation tool,aircraft design optimisation tool
prevención,prevention
young people,young people
movilidad,mobility
privacy preserving analytics,privacy preserving analytics
data economy,data economy
data valuation,data valuation
meteorología,meteorology
slam,slam
generación ondas milimétricas,millimeter wave generation
adhesivos,adhesives
acondicionador de energía,power conditioner
fail-operational,fail-operational
highly automated vehicle,highly automated vehicle
radar,radar
fusion,fusion
derecho cambiario,exchange right
structural analysis,structural analysis
mecanotransducción,mechanotransduction
middlebox copperation,middlebox copperation
derechos,rights
polímeros,polymers
conservadurismo contable,accounting conservatism
in-space propulsion,in-space propulsion
ethereum,ethereum
factores humanos,human factors
investigación de mercados,market research
factor de potencia,power factor
antena,antenna
amoníaco,ammonia
regulación,regulation
competencia política,political competition
interferometríca de fibra óptica,fiber optic interferometry
estudios feministas,feminist studies
safety control,safety control
radiación solar,solar radiation
hogar digital,digital home
economía del comportamiento,behavioral economics
comunicación audiovisual,audiovisual communication
polítical economy,political economy
organización agraria,agrarian organization
brecha digital,digital divide
robots humanoides,humanoid robots
biogas,biogas
archivos fílmicos,film archives
materiales compuestos de matriz aluminio,aluminum matrix composite materials
turbulence control and self-organization,turbulence control and self-organization
cyclone,cyclone
human emotions,human emotions
esa competitive project,esa competitive project
antigüedad,antiquity
exascale,exascale
imágenes infrarrojas,infrared images
sincronizacion,synchronization
donaciones,donations
electrodynamic tethers,electrodynamic tethers
space debris,space debris
thermionic materials,thermionic materials
coating technologies,coating technologies
lotar,fill
cámara ir,ir camera
cnns,cnns
buen gobierno,good government
decisiones individuales,individual decisions
energy-friendly technologies,energy-friendly technologies
fault tolerance,fault tolerance
single event effects,single event effects
fractura,fracture
contenidos digitales,digital content
multidispositivo,multi-device
very long baseline interometry (vlbi),very long baseline interometry (vlbi)
calidad de la información,Quality of the information
fire,fire
verificar,to check
genética humana,human genetics
flow control,flow control
turbulence,turbulence
modeling,modeling
experimental aerodynamics,experimental aerodynamics
jet flows,jet flows
wall-bounded flows,wall-bounded flows
bienes públicos,public goods
percepción del entorno,perception of the environment
new materials: oxides,new materials: oxides
alloys,alloys
composite,composite
organic-inorganic hybrid,organic-inorganic hybrid
derecho tributario internacional,international tax law
competitividad,competitiveness
diversity,diversity
sistemas eléctricos,electric systems
taxes household,taxes household
simplificación fiscal,tax simplification
cine colonial español,Spanish colonial cinema
capital,capital
transmisión,transmission
through silicon vias,through silicon vias
sistemas de,systems
planificación de trayectorias,trajectory planning
manufactura aditiva,additive manufacturing
gender,gender
organ-on-chip,organ-on-chip
morfogénesis de tejidos,fabric morphogenesis
ensayos de caracterización,characterization tests
optimización aeroelastica,aeroelastic optimization
digital fabrication,digital fabrication
despoblación,depopulation
blockchain y privacidad / blockchain and privacy,blockchain y privacidad / blockchain and privacy
responsabilidad penal,criminal liability
hw in the,hw in the
ontologías,ontologies
cargas dinámicas,dynamic loads
see,see
ecuación de euler.,euler equation.
liberación de fármacos,drug release
nextgenerationeu,nextgenerationeu
eu social rights,eu social rights
network infrastructures,network infrastructures
intertemporal preferences,intertemporal preferences
nuevas técnicas de selección espectral ir nuevas aplicaciones,new spectral selection techniques go new applications
offender mediation,offender mediation
adquisición de datos,Data acquisition
interacción fluido estructura,fluid structure interaction
redes de comunicaciones,communications networks
tecnologías educativas,educational technologies
topic analysis,topic analysis
justicia,justice
filtros,filters
método de descomposición de dominios,domain decomposition method
adaptatividad,adaptivity
alta dimensión,high dimension
interior,interior
persistencia riesgo,persistence risk
gestión del tránsito aéreo,air traffic management
transición democrática,democratic transition
redes en sistemas de transporte,networks in transportation systems
aprendizaje activo permanente,permanent active learning
ucc+i,ucc+i
tecnologia educativa,educational technology
políticas públicas,public policy
inoxidables,stainless
satélites,satellites
proyecto adamant,adamant project
stand,stand
ley de dependencia,dependency law
surfactantes,surfactants
obligaciones,obligations
campos cuánticos,quantum fields
soft condensed matter,soft condensed matter
multifuncional,multifunctional
desarrollo,development
metonimia,metonymy
social robots,social robots
aislamiento,isolation
soledad,soledad
mayores,greater
interacción humano-robot,human-robot interaction
comportamiento robótico,robotic behavior
sistemas de atención,care systems
bienestar de los,well-being of the
receptores solares,solar receivers
man-machine-interfaces,man-machine-interfaces
tomografía de fluorescencia,fluorescence tomography
cine documental,Documentary film
gestión del cambio,change management
sensores fibra óptica,fiber optic sensors
circuitos de microondas,microwave circuits
turbulencia,turbulence
políticas migratorias,immigration policies
gestión cultural,Cultural Management
conflicto de intereses,conflict of interests
competencias,Skills
diodo orgánico,organic diode
vídeos,videos
diseño de la interacción,interaction design
cooperación internacional,International cooperation
protecciones balísticas,ballistic protections
engineering,engineering
reconocimiento de entidades,recognition of entities
pyroelectric sensor,pyroelectric sensor
aprendizaje máquina en tratamiento de señal,machine learning in signal processing
institución,institution
latinoamerica,latin america
roof supports,roof supports
heat pipe,heat pipe
internet tactil,touch internet
transporte,transport
consultoría estratégica,strategic consulting
costes de agencia,agency costs
violencia sexual,sexual violence
velocimetría por imágenes de partículas,particle imaging velocimetry
estadística no paramétrica,nonparametric statistics
estadística direccional,directional statistics
suavizado núcleo,smoothed core
dependencia,dependence
contrastes de hipótesis,hypothesis testing
bondad de ajuste,goodness of fit
tests de,tests the
h2-fuelled powertrain,h2-fuelled powertrain
guinea,guinea
imola,imola
fusión de sensores,sensor fusion
convicción,conviction
demo,demo
civismo,civics
re-usabilidad,re-usability
sistemas radiantes,radiant systems
problemas matriciales inversos,inverse matrix problems
ciencias sociales,social Sciences
energía fotovoltaíca,photovoltaic energy
modelos factoriales,factor models
sps,sps
spatial modelling,spatial modelling
digital humanities,digital humanities
autodiagnóstico,auto diagnosis
b5g,b5g
movilidad inteligente,smart mobility
picasso,picasso
frente,forehead
filtros multiplexación wdm,wdm multiplexing filters
user trajectories,user trajectories
predicción de la intención,intention prediction
actividades,activities
sector salud,Health sector
energy harvesting,energy harvesting
canal cilindro-parabólico,parabolic trough
convective weather,convective weather
ciberseguro,cyber insurance
– research management,– research management
modelizacion multifisica,multiphysics modeling
transmedia,transmedia
fluorescencia de dos fotones,two photon fluorescence
astrophysics,astrophysics
comercio electrónico,e-commerce
recuperación de información multimedia,multimedia information recovery
simulación multifísica,multiphysics simulation
repostaje en vuelo,refueling in flight
victim support organisations,victim support organisations
nanociencia,nanoscience
explotación del paralelismo.,exploitation of parallelism.
territorio,territory
tranferencia de conocimiento,knowledge transfer
energía portátil,portable energy
middlebox classification,middlebox classification
oración,prayer
sistemas propulsión híbridos y eléctricos,hybrid and electric propulsion systems
oem,oem
optimización estocástica,stochastic optimization
amoniaco,ammonia
variables,variables
control gasto,expense control
velocidad de,speed of
independencia política,political independence
formas canónicas,canonical forms
diseño ultra-ligero,ultra-light design
desarrollo tecnológico,technological development
solución de intereses complejos,solution of complex interests
covid apps,covid apps
paleografía,paleography
sistema de distribución de potencia,power distribution system
ambigüedad,ambiguity
procesos políticos,political processes
información y conocimiento,information and knowledge
comunicación,communication
regulación del capital,capital regulation
corruption,corruption
casos judiciales,court cases
structure,structure
behavioral experiments,behavioral experiments
adhd,adhd
riesgo de pobreza,risk of poverty
imagen hiperespectral,hyperspectral imaging
electronics reliability,electronics reliability
envejecimiento activo,active aging
derecho societario,corporate law
sistema automático de información hidrológica (saih),automatic hydrological information system (saih)
condensación,condensation
análisis de misión,mission analysis
financialisation,financialisation
privacidad del ciudadano,citizen privacy
indicadores,indicators
biclustering,biclustering
social sciences,social sciences
torre solar,solar tower
desarrollo de medicamentos,drug development
encuestas online,online surveys
sistemas post 5g/6g,systems post 5g/6g
fog,fog
capacity building,capacity building
"diseños ""cross-layer""","""cross-layer"" designs"
transistor óptico,optical transistor
documentación,documentation
data centric,data centric
transcripciones,transcripts
cosmopolitismo,cosmopolitanism
superficie/intercara,surface/interface
sil - safety intengrity level,sil - safety intengrity level
comunicación por luz visible,visible light communication
perovskitas,perovskite
análisis cuantitativo,quantitative analysis
software testing,software testing
festival de cine,dinner festival
marketing de fidelización,loyalty marketing
parcial,partial
programación cultural,cultural programming
economía experimental,experimental economics
historia del arte,history of art
alta concentración,high concentration
protección,protection
sequential monte carlo,sequential monte carlo
detector de rayos gamma,gamma ray detector
energia,energy
celulares,cell phones
intromisión,meddling
sensor de polvo marciano,martian dust sensor
violencia en el trabajo,violence at work
cambio político,political change
aircraft,aircraft
mercados,markets
electrical engineering,electrical engineering
armonización fiscal,tax harmonization
baterías de ion sodio,sodium ion batteries
terahercios,terahercios
fuentes,fuentes
espectroscopia,spectroscopy
creación y destrucción de empleos,job creation and destruction
moral norms,moral norms
vehículos conectados,connected vehicles
conducción cooperativa,cooperative driving
vehículos autónomos,autonomous vehicles
comunicación v2x,v2x communication
human rights,human rights
electric vehicles,electric vehicles
instituciones.,institutions.
aleaciones base hierro,iron base alloys
nanoestructuras semiconductoras,nanoestructuras semiconductoras
energy efficiency,energy efficiency
investigación operativa,operative investigation
mechatronics,mechatronics
políticas económicas,Economic politics
olfaction,olfaction
modelos dinámicos,dynamic models
medios de transporte,means of transport
regresión cuántica,quantum regression
cine europeo,european cinema
market bubbles,market bubbles
inferencia computacional,computational inference
(user-centric) privacy preservation,(user-centric) privacy preservation
digital services,digital services
centros de documentación,documentation centers
pre-commercial hardware,pre-commercial hardware
- e-mail:,- e-mail:
microsensor ir,microsensor ir
excelencia medioambiental de operaciones,environmental operational excellence
derecho fiscal internacional,international tax law
derecho tributario de la ue,eu tax law
beps,beps
competencia fiscal,tax competition
tributación mínima,minimum tax
globe,globe
pilar uno,pillar one
pilar dos,pillar two
distribucion de contenido,content distribution
decisiones contables,accounting decisions
public opinion,public opinion
valor de mercado,market value
autonomía de la voluntad,autonomy of will
baterías de flujo redox,redox flow batteries
redes y sistemas móviles,mobile networks and systems
arquitectura y tecnología de computadores,computer architecture and technology
mlearning,mlearning
flight test,flight test
consolidation and tenure decisions,consolidation and tenure decisions
aproximación,approach
mbse,mbse
tratamientos superficiales,superficial treatments
fibra de vidrio,fiberglass
visión por computador,computer vision
radiofrecuencia,radio frequency
iot,iot
estructura de propiedad,ownership structure
gestion de emergencias,emergency management
asteroid missions,asteroid missions
envejecimiento poblacional,population aging
energias verdes,green energy
eficiencia de energía,energy efficiency
dispositivos médicos,medical devices
cienciometría,scientometrics
ciencia abierta,open science
universidad,universidad
sistema español de educación superior,Spanish higher education system
gobernanza anticipatoria,anticipatory governance
investigación e innovación responsable-,responsible research and innovation-
unobserved heterogeneity,unobserved heterogeneity
approximate inference,approximate inference
clima,climate
convexidad,convexity
infraestructura médica conectada,connected medical infrastructure
análisis de errores,error analysis
red inteligente,Intelligent Network
experimentos económicos,economic experiments
amarras espaciales,space moorings
deontología,deontology
descripción documental,documentary description
scoliosis,scoliosis
artificial intelligence,artificial intelligence
personal data,personal data
compute continuum,compute continuum
ash,ash
selección de modelos,model selection
sistemas eléctricos de transmisión en corriente continua,electrical direct current transmission systems
interacciones complejas,complex interactions
análisis de la actividad científica,analysis of scientific activity
sistemas electrónicos,electronic systems
pirólisis,pyrolysis
nucleos,nuclei
grafeno,graphene
sensores,sensors
transparency,transparency
coeficiente de difusión,Diffusion coefficient
path planning,path planning
semiconductor,semiconductor
thruster,thruster
etiquetas sostenibles,sustainable labels
regression bayesiana,regression bayesiana
personas con discapacidad,People with disabilities
algoritmos de recuperación,recovery algorithms
patologías.,pathologies.
adhesivos estructurales,structural adhesives
dispositivos reprogramables: fpgas de sram,reprogrammable devices: sram fpgas
nombre de la empresa /,company name /
selección de variables,variable selection
assestment,assestment
compartido,shared
tics,tics
regresión no-paramétrica,non-parametric regression
segregaciones soluto,solute segregations
aleaciones metálicas,metal alloys
conflictos económicos,economic conflicts
green deal,green deal
análisis de encuestas,survey analysis
memoria colectiva,collective memory
defectología,defectsology
university and non-university science shops,university and non-university science shops
transporte óptimo,optimal transportation
itv,itv
vehiculos varios terceros,various third party vehicles
consumo eléctrico,electrical consumption
stemma,coat of arms
economía de la información,information economy
rayos x,X-rays
privacy-by-design online,privacy-by-design online
sensores de polvo,dust sensors
escala,scale
pedagogías,pedagogies
dron,drone
telemetría,telemetry
rugosidad cinética,kinetic roughness
sincronización,synchronization
formación de patrones,pattern formation
sepiolita,sepiolite
integración de sistemas,system integration
mercados de energia,energy markets
tac,tac
parametrizaciones robustas,robust parameterizations
optimización meta-heurística,meta-heuristic optimization
negotiation,negotiation
uft,uft
unión europea,European Union
expertos,experts
redes adaptativas,adaptive networks
evaluación científica y tecnológica,scientific and technological evaluation
gendered citizenship,gendered citizenship
modelos de inversión-consumo,investment-consumption models
infrarrojo,infrared
evasión,evasion
modelos de componentes inobservables,unobservable component models
adaptability,adaptability
personalidad,personality
valores,values
relaciones de poder,power relationships
identificación biométrica,biometric identification
sensors,sensors
analog and digital design,analog and digital design
data processing,data processing
quantum sensing,quantum sensing
análisis de vibraciones mecánicas,mechanical vibration analysis
innovation,innovation
open science,open science
research infrastructures,research infrastructures
reward scheme for researchers,reward scheme for researchers
dispositivos de identificación,identification devices
calientacamas,bed warmers
control de riesgos,risk control
(lpbf),(lpbf)
laser direct energy deposition (lded),laser direct energy deposition (lded)
técnicas de ensayos con probetas miniatura. ciclo devida y circularidad,Miniature test tube testing techniques. Life cycle and circularity
sostenibilidad,sustainability
transiciones políticas,political transitions
extracontractual,extracontractual
recursos humanos,human Resources
sistemas complejos,complex systems
dinámica evolutiva,evolutionary dynamics
genotipo-fenotipo,genotype-phenotype
modelos sociales,social models
paisajes adaptativos,adaptive landscapes
estructura,structure
comunidades,communities
propiedad intelectual,intellectual property
violencia de género,gender violence
aleaciones base cobre,copper base alloys
cine de autor,author cinema
energía,energy
participación política,political participation
movilidad geográfica e intergeneracional.,geographic and intergenerational mobility.
capitalización de conocimiento,knowledge capitalization
igualdad de género,gender equality
asistentes personales,personal assistants
microfluidica,microfluidica
powder characterization,powder characterization
estudios de género,gender studies
media & entertainment,media & entertainment
solidaridad,solidarity
paneles solares,solar panels
equilibrio de nash perfecto en subjuegos,subgame perfect nash equilibrium
reducción emisiones,emissions reduction
puf,puf
mortero,mortar
gran recesión,great recession
riders,riders
fbrake,fbrake
registros electrónicos,electronic records
láseres de semiconductor mode-locking,mode-locking semiconductor lasers
editores,publishers
fuentes de financiación,Sources of funding
europa periférica,peripheral europe
rango de cointegración fraccional,fractional cointegration range
síntesis y caracterización,synthesis and characterization
land registry,land registry
legislación,legislation
aramida,aramid
revolving doors,revolving doors
political connections,political connections
large corporations,large corporations
politicians,politicians
regulation,regulation
political economy,political economy
hvdc,hvdc
detección de patrones,pattern detection
